archivo,id_interaccion,agente,duracion_seg,duracion_min,rango_duracion,fecha,es_dia_promo,motivo_principal,motivos_detectados,tiene_saludo,tiene_identificacion,tiene_cierre_correcto,despedida_abrupta,score_calidad,planes_ofrecidos,cantidad_planes,primer_plan,ofrece_fibra,ofrece_equipo,menciona_promo,objeciones,cantidad_objeciones,manejo_objeciones,competencia,sentimiento,tiene_queja,queja_resuelta,resultado,es_venta,es_continuacion,es_rechazo,hay_transferencia,hay_escalacion,es_retencion,cross_sell,turnos_agente,turnos_cliente,total_turnos
amza73_1_260115114710159_ACD_60325_transcripcion.json,260115114710159_ACD_60325,MZA 73,89,1.5,1-3 min,15/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,False,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,1,2,3
amza73_1_260115121124534_ACD_30427_transcripcion.json,260115121124534_ACD_30427,MZA 73,834,13.9,> 8 min,15/01,True,problema_servicio,problema_servicio,True,False,False,False,50,,0,,True,True,False,,0,,claro,positivo,True,False,continuacion,False,True,True,True,False,True,,42,35,77
amza73_1_260115125534973_ACD_06721_transcripcion.json,260115125534973_ACD_06721,MZA 73,1392,23.2,> 8 min,15/01,True,no_identificado,,True,False,True,False,75,4gb,1,4gb,False,True,True,,0,,"claro, personal, otra_empresa",mixto,False,False,continuacion,False,True,False,True,True,False,,73,70,143
amza73_1_260115133507366_ACD_27431_transcripcion.json,260115133507366_ACD_27431,MZA 73,82,1.4,1-3 min,15/01,True,problema_servicio,problema_servicio,True,False,False,False,50,,0,,False,False,False,,0,,claro,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,8,2,10
amza73_1_260115135439977_ACD_91063_transcripcion.json,260115135439977_ACD_91063,MZA 73,369,6.2,5-8 min,15/01,True,no_identificado,,True,False,True,False,75,,0,,False,False,True,,0,,"claro, otra_empresa",positivo,False,False,continuacion,False,True,False,False,False,False,,21,15,36
amza73_1_260115140421817_ACD_26281_transcripcion.json,260115140421817_ACD_26281,MZA 73,338,5.6,5-8 min,15/01,True,cambio_plan,cambio_plan,True,False,False,False,50,"4gb, 8gb",2,4gb,False,True,False,,0,,,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,16,15,31
amza73_1_260115141550112_ACD_70867_transcripcion.json,260115141550112_ACD_70867,MZA 73,299,5.0,3-5 min,15/01,True,no_identificado,,True,False,True,False,75,8gb,1,8gb,False,False,True,,0,,"claro, otra_empresa",positivo,False,False,continuacion,False,True,False,False,False,False,,9,20,29
amza73_1_260115143504465_ACD_36249_transcripcion.json,260115143504465_ACD_36249,MZA 73,139,2.3,1-3 min,15/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,True,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,9,6,15
amza73_1_260115145511791_ACD_98827_transcripcion.json,260115145511791_ACD_98827,MZA 73,102,1.7,1-3 min,15/01,True,no_identificado,,True,False,False,False,50,"4gb, 8gb",2,4gb,False,False,False,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,7,8,15
amza73_1_260115145719158_ACD_04507_transcripcion.json,260115145719158_ACD_04507,MZA 73,65,1.1,1-3 min,15/01,True,no_identificado,,False,False,False,False,25,,0,,False,False,False,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,1,5,6
amza73_1_260115145913524_ACD_09677_transcripcion.json,260115145913524_ACD_09677,MZA 73,70,1.2,1-3 min,15/01,True,no_identificado,,True,False,True,False,75,,0,,False,True,False,,0,,,neutro,False,False,sin_cierre_claro,False,False,False,False,False,False,,9,5,14
amza73_1_260116105014996_ACD_78021_transcripcion.json,260116105014996_ACD_78021,MZA 73,417,7.0,5-8 min,16/01,True,venta_outbound,venta_outbound,True,False,False,False,50,8gb,1,8gb,False,False,True,,0,,"claro, otra_empresa",mixto,False,False,sin_cierre_claro,False,False,False,False,False,True,,36,30,66
amza73_1_260116110114745_MIT_01986_transcripcion.json,260116110114745_MIT_01986,MZA 73,614,10.2,> 8 min,16/01,True,problema_servicio,problema_servicio,True,False,False,False,50,"4gb, 8gb",2,4gb,False,True,True,,0,beneficios,"claro, otra_empresa",positivo,False,False,continuacion,False,True,False,True,False,False,,20,23,43
amza73_1_260116111221745_MIT_01992_transcripcion.json,260116111221745_MIT_01992,MZA 73,74,1.2,1-3 min,16/01,True,no_identificado,,False,False,False,False,25,,0,,False,False,False,,0,,,positivo,False,False,venta,True,False,False,False,False,False,,0,3,3
amza73_1_260116114249789_ACD_66469_transcripcion.json,260116114249789_ACD_66469,MZA 73,188,3.1,3-5 min,16/01,True,no_identificado,,True,False,True,False,75,,0,,False,False,False,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,15,6,21
amza73_1_260116120057719_ACD_23407_transcripcion.json,260116120057719_ACD_23407,MZA 73,257,4.3,3-5 min,16/01,True,no_identificado,,True,False,False,False,50,8gb,1,8gb,False,True,True,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,15,12,27
amza73_1_260116130106117_ACD_49043_transcripcion.json,260116130106117_ACD_49043,MZA 73,65,1.1,1-3 min,16/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,False,sin_interes,1,,,positivo,False,False,rechazo,False,False,True,False,False,False,,2,4,6
amza73_1_260116131233933_ACD_86923_transcripcion.json,260116131233933_ACD_86923,MZA 73,118,2.0,1-3 min,16/01,True,no_identificado,,True,False,True,False,75,,0,,False,False,False,,0,,"claro, personal",neutro,False,False,sin_cierre_claro,False,False,False,False,False,False,,6,2,8
amza73_1_260116134146685_ACD_80383_transcripcion.json,260116134146685_ACD_80383,MZA 73,175,2.9,1-3 min,16/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,False,,0,,claro,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,8,14,22
amza73_1_260116134709429_ACD_00459_transcripcion.json,260116134709429_ACD_00459,MZA 73,168,2.8,1-3 min,16/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,False,,0,empatia,"claro, otra_empresa",neutro,False,False,sin_cierre_claro,False,False,False,False,False,False,,9,2,11
amza73_1_260116135516295_ACD_32241_transcripcion.json,260116135516295_ACD_32241,MZA 73,267,4.5,3-5 min,16/01,True,no_identificado,,True,False,True,False,75,"4gb, 8gb",2,4gb,False,False,True,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,8,14,22
amza73_1_260116141223337_ACD_96679_transcripcion.json,260116141223337_ACD_96679,MZA 73,79,1.3,1-3 min,16/01,True,no_identificado,,True,False,True,False,75,,0,,False,False,False,,0,,claro,positivo,False,False,continuacion,False,True,False,False,False,False,,4,5,9
amza74_1_260112112955599_ACD_31177_transcripcion.json,260112112955599_ACD_31177,MZA 74,66,1.1,1-3 min,12/01,False,no_identificado,,True,False,False,False,50,,0,,False,False,True,sin_interes,1,,,positivo,False,False,rechazo,False,False,True,False,False,False,linea_adicional,5,4,9
amza74_1_260112113609249_ACD_52733_transcripcion.json,260112113609249_ACD_52733,MZA 74,87,1.4,1-3 min,12/01,False,no_identificado,,False,False,False,False,25,,0,,False,False,False,,0,,,neutro,False,False,sin_cierre_claro,False,False,False,False,False,False,,0,1,1
amza74_1_260112114700262_ACD_95439_transcripcion.json,260112114700262_ACD_95439,MZA 74,90,1.5,1-3 min,12/01,False,no_identificado,,False,False,False,False,25,,0,,False,False,False,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,0,4,4
amza74_1_260112124758926_ACD_25817_transcripcion.json,260112124758926_ACD_25817,MZA 74,325,5.4,5-8 min,12/01,False,no_identificado,,False,False,False,False,25,,0,,False,False,True,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,3,17,20
amza74_1_260112130117052_ACD_65359_transcripcion.json,260112130117052_ACD_65359,MZA 74,74,1.2,1-3 min,12/01,False,no_identificado,,False,False,False,False,25,,0,,False,False,False,,0,,otra_empresa,positivo,False,False,rechazo,False,False,True,False,False,False,,0,5,5
amza74_1_260112134931200_ACD_18991_transcripcion.json,260112134931200_ACD_18991,MZA 74,82,1.4,1-3 min,12/01,False,no_identificado,,True,False,False,False,50,,0,,False,False,False,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,5,6,11
amza74_1_260112141931099_ACD_25355_transcripcion.json,260112141931099_ACD_25355,MZA 74,685,11.4,> 8 min,12/01,False,no_identificado,,False,False,False,False,25,,0,,False,False,False,,0,,claro,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,18,26,44
amza74_1_260112155238867_MIT_01997_transcripcion.json,260112155238867_MIT_01997,MZA 74,1161,19.4,> 8 min,12/01,False,no_identificado,,True,False,False,False,50,,0,,False,False,False,,0,,"claro, otra_empresa",positivo,False,False,venta,True,False,False,False,False,False,,25,68,93
amza74_1_260113110842539_ACD_58797_transcripcion.json,260113110842539_ACD_58797,MZA 74,119,2.0,1-3 min,13/01,True,no_identificado,,False,False,False,False,25,,0,,False,False,False,,0,,,positivo,False,False,rechazo,False,False,True,False,False,False,,2,3,5
amza74_1_260113120227600_ACD_18819_transcripcion.json,260113120227600_ACD_18819,MZA 74,212,3.5,3-5 min,13/01,True,cambio_plan,cambio_plan,False,False,False,False,25,,0,,False,False,False,,0,,claro,mixto,True,False,rechazo,False,False,True,False,False,False,,4,16,20
amza74_1_260113120959233_ACD_38749_transcripcion.json,260113120959233_ACD_38749,MZA 74,317,5.3,5-8 min,13/01,True,cambio_plan,"cambio_plan, consulta_general",False,False,False,False,25,,0,,True,False,False,,0,,claro,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,9,16,25
amza74_1_260113121934009_ACD_68921_transcripcion.json,260113121934009_ACD_68921,MZA 74,201,3.4,3-5 min,13/01,True,no_identificado,,False,False,False,False,25,,0,,False,False,False,consultar,1,,"claro, otra_empresa",positivo,False,False,continuacion,False,True,False,False,False,False,,4,10,14
amza74_1_260113125404628_ACD_17147_transcripcion.json,260113125404628_ACD_17147,MZA 74,649,10.8,> 8 min,13/01,True,baja_servicio,"baja_servicio, consulta_general",True,False,False,False,50,,0,,True,False,False,"sin_interes, consultar",2,"beneficios, empatia","claro, personal, otra_empresa",mixto,False,False,rechazo,False,False,True,False,False,False,,13,26,39
amza74_1_260113132003656_ACD_00235_transcripcion.json,260113132003656_ACD_00235,MZA 74,81,1.4,1-3 min,13/01,True,no_identificado,,True,False,False,False,50,,0,,False,True,True,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,7,5,12
amza74_1_260113135932619_ACD_31571_transcripcion.json,260113135932619_ACD_31571,MZA 74,920,15.3,> 8 min,13/01,True,cambio_plan,"cambio_plan, consulta_general",True,False,False,False,50,"4gb, 30gb",2,4gb,False,False,True,,0,beneficios,"claro, otra_empresa",positivo,False,False,continuacion,False,True,False,False,False,False,up_sell_plan,54,39,93
amza74_1_260113141830360_ACD_03465_transcripcion.json,260113141830360_ACD_03465,MZA 74,64,1.1,1-3 min,13/01,True,no_identificado,,False,False,False,False,25,,0,,False,False,False,,0,,,neutro,False,False,sin_cierre_claro,False,False,False,False,False,False,,2,1,3
amza74_1_260113143531567_ACD_58123_transcripcion.json,260113143531567_ACD_58123,MZA 74,63,1.1,1-3 min,13/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,False,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,2,4,6
amza74_1_260114104519248_ACD_67691_transcripcion.json,260114104519248_ACD_67691,MZA 74,173,2.9,1-3 min,14/01,True,no_identificado,,False,False,False,False,25,8gb,1,8gb,False,False,False,,0,,claro,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,5,7,12
amza74_1_260114105906268_ACD_07021_transcripcion.json,260114105906268_ACD_07021,MZA 74,135,2.2,1-3 min,14/01,True,no_identificado,,False,False,False,False,25,,0,,False,False,False,,0,,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,2,4,6
amza74_1_260114110853523_ACD_34787_transcripcion.json,260114110853523_ACD_34787,MZA 74,155,2.6,1-3 min,14/01,True,no_identificado,,True,False,False,False,50,,0,,False,False,False,,0,beneficios,"claro, otra_empresa",positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,12,9,21
amza74_1_260114115259373_ACD_64951_transcripcion.json,260114115259373_ACD_64951,MZA 74,61,1.0,1-3 min,14/01,True,no_identificado,,False,False,False,False,25,,0,,False,False,False,,0,,otra_empresa,positivo,False,False,sin_cierre_claro,False,False,False,False,False,False,,4,4,8
amza74_1_260114115800228_ACD_77259_transcripcion.json,260114115800228_ACD_77259,MZA 74,65,1.1,1-3 min,14/01,True,problema_servicio,problema_servicio,False,False,True,False,50,,0,,False,False,False,,0,,otra_empresa,negativo,False,False,sin_cierre_claro,False,False,False,False,True,False,,1,3,4
