archivo,agente,fecha,duracion_seg,primer_plan
amza_sup2_1_260112110640180_MIT_01953_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260112110846914_MIT_01961_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260112111032149_MIT_01945_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260112154938367_MIT_01995_transcripcion.json,desconocido,desconocida,0,4gb
amza_sup2_1_260112162850539_MIT_01996_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260112180948586_MIT_01988_transcripcion.json,desconocido,desconocida,0,30gb
amza_sup2_1_260112184600773_MIT_01985_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260113134155945_MIT_01998_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260113134241024_MIT_01979_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260113135116570_MIT_01968_transcripcion.json,desconocido,desconocida,0,4gb
amza_sup2_1_260113160313367_MIT_01987_transcripcion.json,desconocido,desconocida,0,4gb
amza_sup2_1_260113160410758_MIT_01982_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260113163313961_MIT_01993_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260113172631383_MIT_01988_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260113175337128_MIT_01992_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260113180758644_MIT_01975_transcripcion.json,desconocido,desconocida,0,4gb
amza_sup2_1_260113184115706_MIT_01986_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260114101403785_MIT_01978_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260114101528003_MIT_01974_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260114103806535_MIT_01967_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260114103817566_MIT_01976_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260114103912003_MIT_01999_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260114105309238_MIT_01969_transcripcion.json,desconocido,desconocida,0,
amza_sup2_1_260114111223347_MIT_01969_transcripcion.json,desconocido,desconocida,0,4gb
