archivo,agente,fecha,descuento_dia,duracion_seg,primer_plan
amza20_1_260113145411711_ACD_24875_transcripcion.json,MZA 20,13/01,80%,65,
amza20_1_260114111716681_ACD_58617_transcripcion.json,MZA 20,14/01,80%,84,
amza20_1_260114112607107_ACD_85413_transcripcion.json,MZA 20,14/01,80%,1051,4gb
amza20_1_260114121316644_MIT_01970_transcripcion.json,MZA 20,14/01,80%,104,
amza20_1_260114131320501_ACD_26739_transcripcion.json,MZA 20,14/01,80%,70,
amza20_1_260114131913005_ACD_44187_transcripcion.json,MZA 20,14/01,80%,204,
amza20_1_260114133556396_ACD_92109_transcripcion.json,MZA 20,14/01,80%,63,
amza20_1_260114134737343_ACD_24485_transcripcion.json,MZA 20,14/01,80%,275,
amza20_1_260114142305716_ACD_30719_transcripcion.json,MZA 20,14/01,80%,65,
amza20_1_260115111742436_ACD_56515_transcripcion.json,MZA 20,15/01,80%,116,8gb
amza20_1_260115115118226_ACD_72869_transcripcion.json,MZA 20,15/01,80%,901,
amza20_1_260115120942224_ACD_25687_transcripcion.json,MZA 20,15/01,80%,222,8gb
amza20_1_260115131816723_ACD_78065_transcripcion.json,MZA 20,15/01,80%,82,
amza20_1_260115132252114_ACD_91059_transcripcion.json,MZA 20,15/01,80%,228,
amza20_1_260115134151168_ACD_49443_transcripcion.json,MZA 20,15/01,80%,539,8gb
amza20_1_260115143920457_ACD_49073_transcripcion.json,MZA 20,15/01,80%,148,
amza20_1_260115144521932_ACD_67953_transcripcion.json,MZA 20,15/01,80%,136,
amza20_1_260115150052771_ACD_12699_transcripcion.json,MZA 20,15/01,80%,125,8gb
amza20_1_260116104858629_ACD_73595_transcripcion.json,MZA 20,16/01,80%,103,4gb
amza20_1_260116105528926_ACD_96767_transcripcion.json,MZA 20,16/01,80%,474,
amza20_1_260116110443179_ACD_28349_transcripcion.json,MZA 20,16/01,80%,175,
amza20_1_260116113437460_ACD_36831_transcripcion.json,MZA 20,16/01,80%,87,4gb
amza20_1_260116125157575_ACD_13565_transcripcion.json,MZA 20,16/01,80%,73,
amza20_1_260116130722711_ACD_70123_transcripcion.json,MZA 20,16/01,80%,106,8gb
amza20_1_260116131706829_ACD_01773_transcripcion.json,MZA 20,16/01,80%,213,
amza21_1_260113110948110_ACD_62635_transcripcion.json,MZA 21,13/01,80%,276,8gb
amza21_1_260113120718696_ACD_31235_transcripcion.json,MZA 21,13/01,80%,63,
amza21_1_260113132040742_ACD_02047_transcripcion.json,MZA 21,13/01,80%,77,
amza21_1_260114105906268_ACD_07043_transcripcion.json,MZA 21,14/01,80%,181,
amza21_1_260114133354512_ACD_86289_transcripcion.json,MZA 21,14/01,80%,78,
amza21_1_260114140852419_ACD_86999_transcripcion.json,MZA 21,14/01,80%,125,
amza21_1_260115104430691_MIT_01989_transcripcion.json,MZA 21,15/01,80%,346,8gb
amza21_1_260115145510878_MIT_01968_transcripcion.json,MZA 21,15/01,80%,212,8gb
amza21_1_260116105437292_MIT_01952_transcripcion.json,MZA 21,16/01,80%,64,
amza22_1_260113105114810_ACD_98945_transcripcion.json,MZA 22,13/01,80%,242,
amza22_1_260113120531150_ACD_26579_transcripcion.json,MZA 22,13/01,80%,171,4gb
amza22_1_260113121304071_ACD_48527_transcripcion.json,MZA 22,13/01,80%,357,
amza22_1_260113125116970_ACD_08841_transcripcion.json,MZA 22,13/01,80%,85,
amza22_1_260113132045760_ACD_02373_transcripcion.json,MZA 22,13/01,80%,566,
amza22_1_260113133547146_ACD_50377_transcripcion.json,MZA 22,13/01,80%,234,8gb
amza22_1_260113142434126_ACD_21313_transcripcion.json,MZA 22,13/01,80%,101,8gb
amza22_1_260113145149804_ACD_16949_transcripcion.json,MZA 22,13/01,80%,75,
amza22_1_260114112536892_ACD_84033_transcripcion.json,MZA 22,14/01,80%,317,
amza22_1_260114121107132_ACD_06303_transcripcion.json,MZA 22,14/01,80%,83,
amza22_1_260114142905348_ACD_50235_transcripcion.json,MZA 22,14/01,80%,133,
amza22_1_260115110231559_ACD_02021_transcripcion.json,MZA 22,15/01,80%,282,8gb
amza22_1_260115112106403_ACD_67769_transcripcion.json,MZA 22,15/01,80%,279,
amza22_1_260115113505534_ACD_14479_transcripcion.json,MZA 22,15/01,80%,72,
amza22_1_260115115341025_ACD_80147_transcripcion.json,MZA 22,15/01,80%,73,
amza22_1_260115145145928_ACD_87357_transcripcion.json,MZA 22,15/01,80%,108,
amza22_1_260116120301286_ACD_28767_transcripcion.json,MZA 22,16/01,80%,133,
amza22_1_260116134412742_MIT_01988_transcripcion.json,MZA 22,16/01,80%,167,
amza23_1_260115110720327_ACD_19053_transcripcion.json,MZA 23,15/01,80%,177,4gb
amza23_1_260115113130797_ACD_04135_transcripcion.json,MZA 23,15/01,80%,60,
amza23_1_260115115605686_ACD_87941_transcripcion.json,MZA 23,15/01,80%,65,
amza23_1_260115120328699_ACD_09979_transcripcion.json,MZA 23,15/01,80%,63,
amza23_1_260115132111074_ACD_85697_transcripcion.json,MZA 23,15/01,80%,100,
amza23_1_260115140755753_ACD_40427_transcripcion.json,MZA 23,15/01,80%,66,
amza23_1_260115141911327_ACD_82897_transcripcion.json,MZA 23,15/01,80%,72,
amza23_1_260115142422286_ACD_97691_transcripcion.json,MZA 23,15/01,80%,89,
amza23_1_260116102700987_ACD_83715_transcripcion.json,MZA 23,16/01,80%,105,8gb
amza23_1_260116114608620_MIT_01982_transcripcion.json,MZA 23,16/01,80%,64,
amza23_1_260116115931253_ACD_18891_transcripcion.json,MZA 23,16/01,80%,62,
amza23_1_260116120806917_ACD_38807_transcripcion.json,MZA 23,16/01,80%,98,
amza23_1_260116133345595_ACD_53363_transcripcion.json,MZA 23,16/01,80%,62,
amza23_1_260116133633224_ACD_62067_transcripcion.json,MZA 23,16/01,80%,197,
amza23_1_260116141805304_MIT_01985_transcripcion.json,MZA 23,16/01,80%,961,8gb
amza23_1_260116181543773_MIT_01986_transcripcion.json,MZA 23,16/01,80%,75,
amza23_1_260116181731632_MIT_01976_transcripcion.json,MZA 23,16/01,80%,138,
amza24_1_260113104334990_ACD_74067_transcripcion.json,MZA 24,13/01,80%,79,
amza24_1_260113121532858_ACD_56159_transcripcion.json,MZA 24,13/01,80%,115,8gb
amza24_1_260113124611094_ACD_99057_transcripcion.json,MZA 24,13/01,80%,123,8gb
amza24_1_260113131448811_ACD_83403_transcripcion.json,MZA 24,13/01,80%,492,8gb
amza24_1_260113132938242_ACD_30087_transcripcion.json,MZA 24,13/01,80%,134,8gb
amza24_1_260113133220008_ACD_38813_transcripcion.json,MZA 24,13/01,80%,63,
amza24_1_260113144541041_ACD_94645_transcripcion.json,MZA 24,13/01,80%,108,8gb
amza24_1_260113144958951_ACD_10577_transcripcion.json,MZA 24,13/01,80%,82,8gb
amza24_1_260113145200832_ACD_17601_transcripcion.json,MZA 24,13/01,80%,77,8gb
amza24_1_260114104345995_ACD_63121_transcripcion.json,MZA 24,14/01,80%,862,8gb
amza24_1_260114110414691_ACD_21239_transcripcion.json,MZA 24,14/01,80%,171,
amza24_1_260114112147310_ACD_72171_transcripcion.json,MZA 24,14/01,80%,210,8gb
amza24_1_260114112924435_ACD_95257_transcripcion.json,MZA 24,14/01,80%,69,
amza24_1_260114114402453_ACD_41255_transcripcion.json,MZA 24,14/01,80%,86,
amza24_1_260114133835995_ACD_99329_transcripcion.json,MZA 24,14/01,80%,126,
amza24_1_260114140213785_MIT_01982_transcripcion.json,MZA 24,14/01,80%,63,
amza24_1_260115103800186_ACD_31793_transcripcion.json,MZA 24,15/01,80%,75,
amza24_1_260115105349985_ACD_75553_transcripcion.json,MZA 24,15/01,80%,80,
amza24_1_260115105657874_ACD_84739_transcripcion.json,MZA 24,15/01,80%,80,
amza24_1_260115105900497_ACD_90911_transcripcion.json,MZA 24,15/01,80%,70,8gb
amza24_1_260115110628153_ACD_15931_transcripcion.json,MZA 24,15/01,80%,64,
amza24_1_260115111536169_ACD_49243_transcripcion.json,MZA 24,15/01,80%,79,8gb
amza24_1_260115113804435_ACD_24775_transcripcion.json,MZA 24,15/01,80%,90,8gb
amza24_1_260115114046476_ACD_35819_transcripcion.json,MZA 24,15/01,80%,173,
amza24_1_260115115138399_ACD_73901_transcripcion.json,MZA 24,15/01,80%,123,8gb
amza24_1_260115121349757_ACD_37833_transcripcion.json,MZA 24,15/01,80%,212,
amza24_1_260115124506580_ACD_80787_transcripcion.json,MZA 24,15/01,80%,119,
amza24_1_260115124813342_ACD_86179_transcripcion.json,MZA 24,15/01,80%,175,8gb
amza24_1_260115125513904_ACD_05545_transcripcion.json,MZA 24,15/01,80%,978,8gb
amza24_1_260115131613152_ACD_71569_transcripcion.json,MZA 24,15/01,80%,113,8gb
amza24_1_260115133603381_ACD_30777_transcripcion.json,MZA 24,15/01,80%,95,
amza24_1_260115145816427_ACD_06893_transcripcion.json,MZA 24,15/01,80%,73,
amza24_1_260116103203902_ACD_05733_transcripcion.json,MZA 24,16/01,80%,93,8gb
amza24_1_260116103654995_ACD_26341_transcripcion.json,MZA 24,16/01,80%,158,8gb
amza24_1_260116115803752_ACD_14423_transcripcion.json,MZA 24,16/01,80%,152,
amza24_1_260116135430035_ACD_29407_transcripcion.json,MZA 24,16/01,80%,84,8gb
amza24_1_260116144541234_ACD_07857_transcripcion.json,MZA 24,16/01,80%,73,8gb
amza24_1_260116150547492_MIT_01993_transcripcion.json,MZA 24,16/01,80%,179,8gb
amza25_1_260113130319737_ACD_46317_transcripcion.json,MZA 25,13/01,80%,79,
amza25_1_260113134102288_ACD_68825_transcripcion.json,MZA 25,13/01,80%,67,
amza25_1_260114121203338_ACD_08347_transcripcion.json,MZA 25,14/01,80%,79,
amza26_1_260113142813197_ACD_32737_transcripcion.json,MZA 26,13/01,80%,128,
amza26_1_260113143855320_ACD_68969_transcripcion.json,MZA 26,13/01,80%,211,
amza26_1_260113145530017_ACD_29711_transcripcion.json,MZA 26,13/01,80%,74,
amza26_1_260114143259502_ACD_59513_transcripcion.json,MZA 26,14/01,80%,147,
amza26_1_260114143627597_ACD_68391_transcripcion.json,MZA 26,14/01,80%,87,
amza26_1_260115112041263_ACD_66325_transcripcion.json,MZA 26,15/01,80%,132,
amza26_1_260115113211004_ACD_06211_transcripcion.json,MZA 26,15/01,80%,134,
amza26_1_260115114429433_ACD_50435_transcripcion.json,MZA 26,15/01,80%,158,
amza26_1_260115135022935_ACD_76987_transcripcion.json,MZA 26,15/01,80%,79,
amza26_1_260115140619200_ACD_33833_transcripcion.json,MZA 26,15/01,80%,146,
amza26_1_260115141931407_ACD_83909_transcripcion.json,MZA 26,15/01,80%,62,
amza26_1_260115143531522_ACD_37757_transcripcion.json,MZA 26,15/01,80%,111,
amza26_1_260116102313809_ACD_69179_transcripcion.json,MZA 26,16/01,80%,119,
amza26_1_260116115748739_ACD_13757_transcripcion.json,MZA 26,16/01,80%,212,
amza26_1_260116142612590_ACD_42055_transcripcion.json,MZA 26,16/01,80%,92,
