archivo,id_interaccion,agente,fecha,duracion_seg,primer_plan,planes_ofrecidos,cantidad_planes,ofrece_fibra
amza10_1_260313144651446_ACD_86863_mejorado.json,amza10_1_260313144651446_ACD_86863_mejorado.json,amza10,13/03,158.56,,,0,False
amza10_1_260313145217918_ACD_99433_mejorado.json,amza10_1_260313145217918_ACD_99433_mejorado.json,amza10,13/03,82.77,,,0,False
amza10_1_260313182334442_ACD_86565_mejorado.json,amza10_1_260313182334442_ACD_86565_mejorado.json,amza10,13/03,124.79,,,0,False
amza10_1_260313184317367_ACD_05721_mejorado.json,amza10_1_260313184317367_ACD_05721_mejorado.json,amza10,13/03,69.09,8gb,8gb,1,False
amza10_1_260313184718015_ACD_09955_mejorado.json,amza10_1_260313184718015_ACD_09955_mejorado.json,amza10,13/03,182.1,8gb,8gb,1,False
amza10_2_260310114420532_ACD_03119_mejorado.json,amza10_2_260310114420532_ACD_03119_mejorado.json,amza10,10/03,376.89,,,0,False
amza10_2_260312124853349_ACD_91485_mejorado.json,amza10_2_260312124853349_ACD_91485_mejorado.json,amza10,12/03,92.0,,,0,False
amza12_1_260309102403542_ACD_85601_mejorado.json,amza12_1_260309102403542_ACD_85601_mejorado.json,amza12,09/03,132.25,4gb,4gb,1,False
amza12_1_260309105917599_ACD_00313_mejorado.json,amza12_1_260309105917599_ACD_00313_mejorado.json,amza12,09/03,230.26,,,0,False
amza12_1_260309111228671_ACD_41135_mejorado.json,amza12_1_260309111228671_ACD_41135_mejorado.json,amza12,09/03,105.0,,,0,False
amza12_1_260309111739080_MIT_01976_mejorado.json,amza12_1_260309111739080_MIT_01976_mejorado.json,amza12,09/03,259.35,4gb,"4gb, 8gb",2,False
amza12_1_260309112543496_ACD_84301_mejorado.json,amza12_1_260309112543496_ACD_84301_mejorado.json,amza12,09/03,97.96,,,0,False
amza12_1_260309115238631_ACD_61467_mejorado.json,amza12_1_260309115238631_ACD_61467_mejorado.json,amza12,09/03,94.15,,,0,False
amza12_1_260309115446005_ACD_66007_mejorado.json,amza12_1_260309115446005_ACD_66007_mejorado.json,amza12,09/03,112.93,,,0,False
amza12_1_260309115751638_ACD_73747_mejorado.json,amza12_1_260309115751638_ACD_73747_mejorado.json,amza12,09/03,75.42,,,0,False
amza12_1_260309120157398_ACD_83867_mejorado.json,amza12_1_260309120157398_ACD_83867_mejorado.json,amza12,09/03,135.91,,,0,False
amza12_1_260309125229556_ACD_57651_mejorado.json,amza12_1_260309125229556_ACD_57651_mejorado.json,amza12,09/03,189.94,,,0,False
amza12_1_260309130642103_ACD_04947_mejorado.json,amza12_1_260309130642103_ACD_04947_mejorado.json,amza12,09/03,96.1,,,0,False
amza12_1_260309132023306_ACD_46589_mejorado.json,amza12_1_260309132023306_ACD_46589_mejorado.json,amza12,09/03,74.67,,,0,False
amza12_1_260309132927156_ACD_74183_mejorado.json,amza12_1_260309132927156_ACD_74183_mejorado.json,amza12,09/03,71.35,,,0,False
amza12_1_260309133105438_ACD_79243_mejorado.json,amza12_1_260309133105438_ACD_79243_mejorado.json,amza12,09/03,252.0,,,0,False
amza12_1_260309134513996_ACD_22195_mejorado.json,amza12_1_260309134513996_ACD_22195_mejorado.json,amza12,09/03,307.62,,,0,False
amza12_1_260309135210297_ACD_44023_mejorado.json,amza12_1_260309135210297_ACD_44023_mejorado.json,amza12,09/03,284.39,4gb,4gb,1,True
amza12_1_260309141823640_ACD_19765_mejorado.json,amza12_1_260309141823640_ACD_19765_mejorado.json,amza12,09/03,74.66,,,0,False
amza12_1_260309142130660_ACD_27501_mejorado.json,amza12_1_260309142130660_ACD_27501_mejorado.json,amza12,09/03,320.69,,,0,False
amza12_1_260309143840117_ACD_69829_mejorado.json,amza12_1_260309143840117_ACD_69829_mejorado.json,amza12,09/03,66.37,,,0,False
amza12_1_260309145639667_ACD_21349_mejorado.json,amza12_1_260309145639667_ACD_21349_mejorado.json,amza12,09/03,119.37,,,0,False
amza12_1_260309150001309_ACD_29367_mejorado.json,amza12_1_260309150001309_ACD_29367_mejorado.json,amza12,09/03,62.76,,,0,False
amza12_1_260309180218983_ACD_76065_mejorado.json,amza12_1_260309180218983_ACD_76065_mejorado.json,amza12,09/03,5.72,,,0,False
amza12_1_260309181257985_ACD_92607_mejorado.json,amza12_1_260309181257985_ACD_92607_mejorado.json,amza12,09/03,730.59,4gb,4gb,1,False
amza12_1_260309190906397_ACD_67713_mejorado.json,amza12_1_260309190906397_ACD_67713_mejorado.json,amza12,09/03,401.07,4gb,"4gb, 8gb",2,False
amza12_1_260309192613258_ACD_91729_mejorado.json,amza12_1_260309192613258_ACD_91729_mejorado.json,amza12,09/03,829.83,8gb,8gb,1,False
amza12_1_260310103424822_ACD_26451_mejorado.json,amza12_1_260310103424822_ACD_26451_mejorado.json,amza12,10/03,92.2,,,0,False
amza12_1_260310104131188_ACD_44085_mejorado.json,amza12_1_260310104131188_ACD_44085_mejorado.json,amza12,10/03,66.89,,,0,False
amza12_1_260310105225950_ACD_70885_mejorado.json,amza12_1_260310105225950_ACD_70885_mejorado.json,amza12,10/03,138.07,,,0,True
amza12_1_260310105522129_ACD_79103_mejorado.json,amza12_1_260310105522129_ACD_79103_mejorado.json,amza12,10/03,429.86,30gb,30gb,1,False
amza12_1_260310114616549_ACD_07861_mejorado.json,amza12_1_260310114616549_ACD_07861_mejorado.json,amza12,10/03,94.18,15gb,15gb,1,False
amza12_1_260310114937988_ACD_15347_mejorado.json,amza12_1_260310114937988_ACD_15347_mejorado.json,amza12,10/03,391.18,4gb,4gb,1,True
amza12_1_260310120156240_ACD_42429_mejorado.json,amza12_1_260310120156240_ACD_42429_mejorado.json,amza12,10/03,107.71,,,0,False
amza12_1_260310121035124_ACD_57769_mejorado.json,amza12_1_260310121035124_ACD_57769_mejorado.json,amza12,10/03,96.76,,,0,False
amza12_1_260310121902867_ACD_76981_mejorado.json,amza12_1_260310121902867_ACD_76981_mejorado.json,amza12,10/03,60.94,,,0,False
amza12_1_260310125119027_ACD_14075_mejorado.json,amza12_1_260310125119027_ACD_14075_mejorado.json,amza12,10/03,262.05,,,0,False
amza12_1_260310125620774_ACD_28933_mejorado.json,amza12_1_260310125620774_ACD_28933_mejorado.json,amza12,10/03,95.46,,,0,True
amza12_1_260310130319024_ACD_48733_mejorado.json,amza12_1_260310130319024_ACD_48733_mejorado.json,amza12,10/03,64.48,,,0,False
amza12_1_260310130750027_ACD_60149_mejorado.json,amza12_1_260310130750027_ACD_60149_mejorado.json,amza12,10/03,78.22,,,0,False
amza12_1_260310132613620_ACD_97537_mejorado.json,amza12_1_260310132613620_ACD_97537_mejorado.json,amza12,10/03,156.62,,,0,False
amza12_1_260310133130800_ACD_05207_mejorado.json,amza12_1_260310133130800_ACD_05207_mejorado.json,amza12,10/03,1706.13,4gb,4gb,1,False
amza12_1_260310143313329_ACD_64243_mejorado.json,amza12_1_260310143313329_ACD_64243_mejorado.json,amza12,10/03,60.4,,,0,False
amza12_1_260310143619987_ACD_72677_mejorado.json,amza12_1_260310143619987_ACD_72677_mejorado.json,amza12,10/03,84.8,,,0,False
amza12_1_260310145637484_ACD_27689_mejorado.json,amza12_1_260310145637484_ACD_27689_mejorado.json,amza12,10/03,332.27,,,0,False
amza12_1_260310165507024_ACD_39911_mejorado.json,amza12_1_260310165507024_ACD_39911_mejorado.json,amza12,10/03,227.36,,,0,False
amza12_1_260310173049967_ACD_58577_mejorado.json,amza12_1_260310173049967_ACD_58577_mejorado.json,amza12,10/03,131.2,,,0,False
amza12_1_260310173338311_ACD_61301_mejorado.json,amza12_1_260310173338311_ACD_61301_mejorado.json,amza12,10/03,940.26,4gb,4gb,1,True
amza12_1_260310181308841_ACD_13051_mejorado.json,amza12_1_260310181308841_ACD_13051_mejorado.json,amza12,10/03,77.52,,,0,False
amza12_1_260310181446255_ACD_15197_mejorado.json,amza12_1_260310181446255_ACD_15197_mejorado.json,amza12,10/03,93.39,,,0,False
amza12_1_260310183539426_ACD_39455_mejorado.json,amza12_1_260310183539426_ACD_39455_mejorado.json,amza12,10/03,257.12,8gb,8gb,1,False
amza12_1_260310190306244_ACD_68119_mejorado.json,amza12_1_260310190306244_ACD_68119_mejorado.json,amza12,10/03,108.49,,,0,False
amza12_1_260310190604125_ACD_70713_mejorado.json,amza12_1_260310190604125_ACD_70713_mejorado.json,amza12,10/03,208.02,8gb,8gb,1,False
amza12_1_260311105650017_ACD_76225_mejorado.json,amza12_1_260311105650017_ACD_76225_mejorado.json,amza12,11/03,62.79,,,0,False
amza12_1_260311110118693_ACD_89313_mejorado.json,amza12_1_260311110118693_ACD_89313_mejorado.json,amza12,11/03,193.93,,,0,False
amza12_1_260311112339986_ACD_48073_mejorado.json,amza12_1_260311112339986_ACD_48073_mejorado.json,amza12,11/03,64.21,,,0,False
amza12_1_260311115023474_ACD_15957_mejorado.json,amza12_1_260311115023474_ACD_15957_mejorado.json,amza12,11/03,99.17,,,0,False
amza12_1_260311115600575_ACD_28397_mejorado.json,amza12_1_260311115600575_ACD_28397_mejorado.json,amza12,11/03,63.52,,,0,False
amza12_1_260311120019640_ACD_37237_mejorado.json,amza12_1_260311120019640_ACD_37237_mejorado.json,amza12,11/03,129.52,,,0,False
amza12_1_260311120400844_ACD_44203_mejorado.json,amza12_1_260311120400844_ACD_44203_mejorado.json,amza12,11/03,77.08,,,0,False
amza12_1_260311120817435_ACD_52255_mejorado.json,amza12_1_260311120817435_ACD_52255_mejorado.json,amza12,11/03,70.76,,,0,False
amza12_1_260311121923446_ACD_79349_mejorado.json,amza12_1_260311121923446_ACD_79349_mejorado.json,amza12,11/03,146.8,,,0,False
amza12_1_260311132137506_MIT_01944_mejorado.json,amza12_1_260311132137506_MIT_01944_mejorado.json,amza12,11/03,246.48,,,0,False
amza12_1_260311132959020_ACD_00817_mejorado.json,amza12_1_260311132959020_ACD_00817_mejorado.json,amza12,11/03,98.09,,,0,False
amza12_1_260311134442646_MIT_01959_mejorado.json,amza12_1_260311134442646_MIT_01959_mejorado.json,amza12,11/03,63.89,,,0,False
amza12_1_260311135052904_ACD_48891_mejorado.json,amza12_1_260311135052904_ACD_48891_mejorado.json,amza12,11/03,159.62,,,0,False
amza12_1_260311135836408_ACD_67577_mejorado.json,amza12_1_260311135836408_ACD_67577_mejorado.json,amza12,11/03,831.43,8gb,"8gb, 4gb",2,False
amza12_1_260311142506953_ACD_27063_mejorado.json,amza12_1_260311142506953_ACD_27063_mejorado.json,amza12,11/03,21.7,,,0,False
amza12_1_260311143742556_ACD_53245_mejorado.json,amza12_1_260311143742556_ACD_53245_mejorado.json,amza12,11/03,81.44,,,0,False
amza12_1_260311145053180_ACD_83493_mejorado.json,amza12_1_260311145053180_ACD_83493_mejorado.json,amza12,11/03,110.28,8gb,8gb,1,False
amza12_1_260311150234068_ACD_07209_mejorado.json,amza12_1_260311150234068_ACD_07209_mejorado.json,amza12,11/03,218.62,,,0,False
amza12_1_260312111650141_ACD_26779_mejorado.json,amza12_1_260312111650141_ACD_26779_mejorado.json,amza12,12/03,227.95,,,0,False
amza12_1_260312113953145_ACD_81997_mejorado.json,amza12_1_260312113953145_ACD_81997_mejorado.json,amza12,12/03,347.91,,,0,False
amza12_1_260312114640656_ACD_99253_mejorado.json,amza12_1_260312114640656_ACD_99253_mejorado.json,amza12,12/03,107.04,,,0,False
amza12_1_260312115012069_ACD_08227_mejorado.json,amza12_1_260312115012069_ACD_08227_mejorado.json,amza12,12/03,392.63,,,0,False
amza12_1_260312130042101_ACD_12269_mejorado.json,amza12_1_260312130042101_ACD_12269_mejorado.json,amza12,12/03,64.45,,,0,False
amza12_1_260312131009980_ACD_34559_mejorado.json,amza12_1_260312131009980_ACD_34559_mejorado.json,amza12,12/03,105.99,4gb,4gb,1,False
